region,latitude,longitude
prescott,34.539984,-112.468812
ashtabula,41.865054,-80.789809
toledo,39.8560679,-4.0239568
long island,40.85149705,-73.0994258107431
bowling green,36.9903199,-86.4436018
augusta,33.4709714,-81.9748429
denver,39.7392364,-104.984862
fort dodge,42.5044017,-94.1910044
sheboygan,43.7128967,-87.9370433
springfield,39.7990175,-89.6439575
show low,34.2542084,-110.029832
buffalo,42.8867166,-78.8783922
wilmington,39.7459468,-75.546589
southeast IA,-22.81527015,-47.07007173573504
kenai peninsula,60.0968272,-151.788033
rhode island,41.7962409,-71.5992372
baltimore,39.2908816,-76.610759
orlando,28.5421109,-81.3790304
mansfield,40.75839,-82.5154471
plattsburgh-adirondacks,44.7161971,-73.4435339
lansing,42.7337712,-84.5553805
san antonio,29.4246002,-98.4951405
lawrence,41.001415,-80.350071
eastern panhandle,39.5733818,-89.9867748
macon / warner robins,32.6146047,-83.6862002
st augustine,29.8946952,-81.3145395
williamsport,41.2493292,-77.0027671
binghamton,42.098698,-75.9125187
tuscaloosa,33.2095614,-87.5675258
san angelo,31.4649685,-100.4405094
great falls,47.5048851,-111.29189
ithaca,42.4396039,-76.4968019
harrisonburg,38.4493315,-78.8688833
elmira-corning,42.7056386,-77.709834
klamath falls,42.224867,-121.7816704
boone,42.321246,-88.8235511
des moines,41.5910323,-93.6046655
fargo / moorhead,46.8317305,-96.7914886
mattoon-charleston,39.4797189,-88.3215233
killeen / temple / ft hood,31.1171441,-97.727796
winchester,51.0612766,-1.3131692
danville,40.125222,-87.6304614
north platte,41.1238873,-100.7654232
albuquerque,35.0841034,-106.650985
bloomington-normal,40.508752,-88.9844947
dothan,31.2237285,-85.3934375
knoxville,35.9603948,-83.9210261
reno / tahoe,39.498646199999996,-119.77333186086474
champaign urbana,40.1157948,-88.241194
san luis obispo,35.3540209,-120.3757163
texoma,33.91610555,-96.64274127404047
treasure coast,27.7712026,-82.6495453
glens falls,43.309941,-73.644447
reading,51.456659,-0.9696512
new river valley,-43.4032468,146.5555293
