id,year,manufacturer,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,price,latitude,longitude,car_age,gas_fueled,diesel_fueled,hybrid_fueled,electric_fueled,front_wheel_drive,four_wheel_drive,rear_wheel_drive,automatic_transmission,manual_transmission
27,2012,dodge,,4.0,gas,9309,rebuilt,automatic,fwd,midsize,sedan,white,15940,41.0799898,-85.1386015,11,1,0,0,0,1,0,0,1,0
28,2007,dodge,5.0,6.0,gas,158633,clean,automatic,4wd,fullsize,truck,black,16337,39.8560679,-4.0239568,16,1,0,0,0,0,1,0,1,0
29,2005,ford,5.0,8.0,gas,209759,clean,automatic,rwd,fullsize,truck,black,7264,39.7459468,-75.546589,18,1,0,0,0,0,0,1,1,0
30,2016,ford,2.0,4.0,gas,88187,clean,automatic,fwd,subcompact,coupe,blue,31696,38.8950368,-77.0365427,7,1,0,0,0,1,0,0,1,0
31,2006,bmw,5.0,6.0,gas,104876,clean,automatic,rwd,midsize,sedan,black,14750,34.627894,-86.902062,17,1,0,0,0,0,0,1,1,0
32,2003,toyota,1.0,4.0,gas,150511,clean,automatic,fwd,fullsize,sedan,red,1406,39.7459468,-75.546589,20,1,0,0,0,1,0,0,1,0
33,2009,volkswagen,2.0,4.0,other,106666,clean,automatic,fwd,fullsize,sedan,black,6063,28.5421109,-81.3790304,14,0,0,0,0,1,0,0,1,0
34,1992,chevrolet,2.0,8.0,gas,64430,clean,manual,rwd,fullsize,truck,black,8432,27.395988350000003,-82.55407423064528,31,1,0,0,0,0,0,1,0,1
35,2013,toyota,2.0,4.0,gas,21293,clean,automatic,fwd,fullsize,suv,blue,8403,32.3140354,-106.779807,10,1,0,0,0,1,0,0,1,0
36,2012,ford,5.0,4.0,gas,105981,clean,automatic,fwd,midsize,sedan,blue,16079,35.7218038,-113.827117,11,1,0,0,0,1,0,0,1,0
37,2006,ram,5.0,6.0,diesel,141099,clean,manual,4wd,fullsize,pickup,silver,23375,36.1563122,-95.9927516,17,0,1,0,0,0,1,0,0,1
38,2015,chevrolet,2.0,8.0,other,95888,clean,automatic,4wd,fullsize,truck,white,6655,39.7683331,-86.1583502,8,0,0,0,0,0,1,0,1,0
39,2012,volkswagen,1.0,6.0,gas,152452,clean,manual,fwd,compact,sedan,blue,7142,36.9695692,-120.0742215,11,1,0,0,0,1,0,0,0,1
40,2013,ford,2.0,4.0,gas,174294,clean,automatic,fwd,fullsize,sedan,black,6411,36.8479165,-76.2902105,10,1,0,0,0,1,0,0,1,0
41,2015,bmw,5.0,6.0,gas,55954,rebuilt,manual,4wd,fullsize,suv,black,20514,46.7811048,-92.104329249445,8,1,0,0,0,0,1,0,0,1
42,1988,ford,1.0,8.0,gas,147310,rebuilt,manual,4wd,fullsize,pickup,green,6205,29.4246002,-98.4951405,35,1,0,0,0,0,1,0,0,1
43,2013,ford,5.0,6.0,gas,103601,clean,automatic,rwd,fullsize,truck,black,17873,42.1125825,-72.51478135359363,10,1,0,0,0,0,0,1,1,0
44,2008,jeep,1.0,6.0,gas,-1,clean,automatic,4wd,fullsize,suv,black,5077,43.157285,-77.615214,15,1,0,0,0,0,1,0,1,0
45,2013,chevrolet,5.0,8.0,gas,56930,clean,automatic,4wd,fullsize,truck,black,46743,29.4836274,-95.1139039,10,1,0,0,0,0,1,0,1,0
46,2004,ford,1.0,8.0,diesel,150525,clean,automatic,rwd,fullsize,truck,orange,1027,38.8950368,-77.0365427,19,0,1,0,0,0,0,1,1,0
47,2014,honda,5.0,4.0,gas,205226,clean,automatic,fwd,midsize,sedan,black,11054,38.8950368,-77.0365427,9,1,0,0,0,1,0,0,1,0
48,2012,nissan,,4.0,gas,124806,clean,automatic,fwd,compact,sedan,silver,8435,38.8339578,-104.825348,11,1,0,0,0,1,0,0,1,0
49,2009,bmw,5.0,6.0,gas,50287,clean,automatic,fwd,midsize,suv,silver,19194,39.9053187,-84.22024542480268,14,1,0,0,0,1,0,0,1,0
50,2015,hyundai,2.0,4.0,gas,102767,clean,manual,fwd,midsize,coupe,black,8657,38.6920451,-75.4013315,8,1,0,0,0,1,0,0,0,1
51,2001,honda,2.0,4.0,gas,173122,clean,automatic,fwd,fullsize,van,black,10228,39.830107,-74.978493,22,1,0,0,0,1,0,0,1,0
52,2013,bmw,5.0,6.0,gas,101274,rebuilt,automatic,fwd,midsize,coupe,black,16321,36.1672559,-115.148516,10,1,0,0,0,1,0,0,1,0
53,2006,bmw,5.0,4.0,gas,136191,clean,automatic,fwd,fullsize,sedan,black,4486,36.1672559,-115.148516,17,1,0,0,0,1,0,0,1,0
54,1999,chrysler,2.0,6.0,gas,191476,clean,manual,fwd,midsize,coupe,black,5293,39.830107,-74.978493,24,1,0,0,0,1,0,0,0,1
55,1996,ford,2.0,8.0,diesel,92613,clean,automatic,4wd,fullsize,truck,white,23954,34.67318365,-82.39612861921913,27,0,1,0,0,0,1,0,1,0
56,2015,toyota,5.0,4.0,gas,328676,rebuilt,automatic,fwd,midsize,sedan,black,6234,39.5733818,-89.9867748,8,1,0,0,0,1,0,0,1,0
57,2016,ford,5.0,6.0,gas,133560,rebuilt,automatic,4wd,fullsize,suv,black,8938,36.1622767,-86.7742984,7,1,0,0,0,0,1,0,1,0
58,2011,gmc,5.0,8.0,diesel,97739,clean,automatic,4wd,fullsize,suv,black,13755,44.811349,-91.4984941,12,0,1,0,0,0,1,0,1,0
59,1988,chevrolet,2.0,6.0,gas,135072,clean,manual,fwd,fullsize,suv,blue,3718,-29.6860512,-53.8069214,35,1,0,0,0,1,0,0,0,1
60,1971,ford,2.0,8.0,gas,71430,clean,automatic,rwd,fullsize,truck,white,19077,36.8479165,-76.2902105,52,1,0,0,0,0,0,1,1,0
61,2003,mazda,1.0,4.0,gas,229610,clean,manual,fwd,compact,sedan,black,4364,14.6743343,121.1003603,20,1,0,0,0,1,0,0,0,1
62,1994,bmw,5.0,8.0,gas,67264,clean,automatic,rwd,fullsize,sedan,white,16145,35.9603948,-83.9210261,29,1,0,0,0,0,0,1,1,0
63,2015,audi,5.0,4.0,gas,151032,clean,automatic,fwd,midsize,sedan,silver,9561,37.5385087,-77.43428,8,1,0,0,0,1,0,0,1,0
64,1998,ford,1.0,8.0,gas,192165,clean,automatic,rwd,fullsize,sedan,brown,6507,14.6743343,121.1003603,25,1,0,0,0,0,0,1,1,0
65,2009,buick,5.0,4.0,gas,76724,clean,automatic,4wd,midsize,suv,green,8359,41.7962409,-71.5992372,14,1,0,0,0,0,1,0,1,0
66,2007,ford,1.0,4.0,other,327467,clean,automatic,fwd,midsize,suv,silver,6207,38.4493315,-78.8688833,16,0,0,0,0,1,0,0,1,0
67,2008,ram,5.0,6.0,diesel,111940,clean,other,fwd,fullsize,truck,red,8216,38.8950368,-77.0365427,15,0,1,0,0,1,0,0,0,0
68,2013,lincoln,5.0,4.0,gas,166614,clean,automatic,fwd,fullsize,sedan,blue,9778,51.456659,-0.9696512,10,1,0,0,0,1,0,0,1,0
69,1999,chevrolet,2.0,8.0,gas,160687,clean,automatic,4wd,fullsize,suv,black,13087,38.8339578,-104.825348,24,1,0,0,0,0,1,0,1,0
70,2016,subaru,5.0,4.0,gas,118734,clean,automatic,fwd,midsize,suv,blue,26359,42.2713945,-89.093966,7,1,0,0,0,1,0,0,1,0
71,2013,ford,2.0,10.0,gas,150309,clean,automatic,rwd,fullsize,truck,black,11384,46.56132435,-87.41048112721177,10,1,0,0,0,0,0,1,1,0
72,2002,honda,2.0,4.0,gas,198472,clean,automatic,fwd,compact,hatchback,blue,4081,44.0581728,-121.3153096,21,1,0,0,0,1,0,0,1,0
73,2013,kia,5.0,4.0,gas,137182,clean,automatic,fwd,compact,hatchback,silver,7564,38.2544472,-104.609141,10,1,0,0,0,1,0,0,1,0
74,1989,jeep,5.0,8.0,gas,109376,clean,manual,4wd,fullsize,suv,white,7366,29.7589382,-95.3676974,34,1,0,0,0,0,1,0,0,1
75,2012,ford,2.0,8.0,gas,126666,clean,automatic,4wd,fullsize,pickup,blue,17869,41.000028,19.9999619,11,1,0,0,0,0,1,0,1,0
76,2016,jeep,,6.0,gas,61659,partsonly,automatic,4wd,midsize,suv,blue,39321,31.1171441,-97.727796,7,1,0,0,0,0,1,0,1,0
77,2008,bmw,5.0,4.0,gas,121863,clean,automatic,fwd,fullsize,sedan,black,5114,37.9577016,-121.2907796,15,1,0,0,0,1,0,0,1,0
78,2012,bmw,5.0,6.0,gas,114965,clean,automatic,rwd,midsize,coupe,black,12874,41.4996574,-81.6936772,11,1,0,0,0,0,0,1,1,0
79,2016,bmw,5.0,6.0,gas,102584,rebuilt,automatic,fwd,midsize,sedan,blue,36691,33.8583113,-118.0858136,7,1,0,0,0,1,0,0,1,0
80,2010,buick,5.0,6.0,gas,131694,clean,automatic,fwd,midsize,suv,white,5172,40.7596198,-111.886797,13,1,0,0,0,1,0,0,1,0
81,2014,chevrolet,5.0,4.0,gas,112367,rebuilt,automatic,fwd,midsize,sedan,black,17022,41.5910323,-93.6046655,9,1,0,0,0,1,0,0,1,0
82,2011,toyota,1.0,4.0,gas,188249,clean,automatic,fwd,midsize,suv,blue,2154,41.7962409,-71.5992372,12,1,0,0,0,1,0,0,1,0
83,2012,ram,5.0,8.0,gas,134571,clean,automatic,4wd,fullsize,truck,silver,25896,43.157285,-77.615214,11,1,0,0,0,0,1,0,1,0
84,2003,ford,2.0,4.0,gas,145781,clean,automatic,fwd,fullsize,coupe,black,5850,33.7489924,-84.3902644,20,1,0,0,0,1,0,0,1,0
85,2012,dodge,,6.0,gas,88404,clean,automatic,4wd,midsize,suv,white,14905,43.157285,-77.615214,11,1,0,0,0,0,1,0,1,0
86,1995,ram,2.0,8.0,diesel,167305,clean,automatic,4wd,fullsize,truck,white,7577,43.0481221,-76.1474244,28,0,1,0,0,0,1,0,1,0
87,2003,ford,1.0,6.0,gas,146322,clean,automatic,4wd,fullsize,suv,silver,11059,39.7459468,-75.546589,20,1,0,0,0,0,1,0,1,0
88,2012,lexus,5.0,6.0,gas,180681,clean,automatic,fwd,midsize,suv,silver,3492,39.2908816,-76.610759,11,1,0,0,0,1,0,0,1,0
89,1997,mercedesbenz,1.0,12.0,gas,145446,clean,automatic,rwd,compact,coupe,red,16507,27.395988350000003,-82.55407423064528,26,1,0,0,0,0,0,1,1,0
90,2012,dodge,5.0,6.0,gas,109028,rebuilt,automatic,fwd,midsize,sedan,blue,8886,39.100105,-94.5781416,11,1,0,0,0,1,0,0,1,0
91,2009,toyota,2.0,4.0,gas,227871,clean,automatic,fwd,midsize,wagon,green,7572,39.9622601,-83.0007065,14,1,0,0,0,1,0,0,1,0
92,2005,honda,5.0,4.0,gas,121319,clean,manual,fwd,compact,sedan,blue,3098,39.830107,-74.978493,18,1,0,0,0,1,0,0,0,1
93,2006,hyundai,2.0,4.0,gas,219844,clean,manual,fwd,fullsize,sedan,silver,2276,42.3554334,-71.060511,17,1,0,0,0,1,0,0,0,1
94,2007,ford,5.0,8.0,gas,147568,clean,automatic,rwd,fullsize,truck,brown,5740,41.000028,19.9999619,16,1,0,0,0,0,0,1,1,0
95,2016,ford,2.0,6.0,gas,37991,clean,automatic,rwd,fullsize,van,white,30566,33.7500378,-117.8704931,7,1,0,0,0,0,0,1,1,0
96,2010,ram,5.0,6.0,gas,88676,clean,automatic,4wd,fullsize,pickup,black,24123,-29.6860512,-53.8069214,13,1,0,0,0,0,1,0,1,0
97,2016,bmw,,4.0,gas,85737,clean,manual,fwd,compact,convertible,red,7817,34.539984,-112.468812,7,1,0,0,0,1,0,0,0,1
98,2001,ford,1.0,6.0,gas,173499,clean,automatic,fwd,fullsize,suv,silver,3063,38.8950368,-77.0365427,22,1,0,0,0,1,0,0,1,0
99,2006,ford,5.0,4.0,gas,108928,clean,manual,rwd,fullsize,van,red,5836,36.9903199,-86.4436018,17,1,0,0,0,0,0,1,0,1
100,2011,bmw,5.0,6.0,gas,108774,clean,automatic,4wd,midsize,suv,red,8563,30.3321838,-81.655651,12,1,0,0,0,0,1,0,1,0
101,2009,toyota,1.0,6.0,gas,220385,clean,automatic,fwd,fullsize,suv,green,7426,32.2228765,-110.9748477,14,1,0,0,0,1,0,0,1,0
102,2013,ford,5.0,8.0,gas,53292,rebuilt,automatic,4wd,midsize,suv,blue,42154,36.0726355,-79.7919754,10,1,0,0,0,0,1,0,1,0
103,2019,nissan,5.0,4.0,gas,138595,clean,automatic,fwd,fullsize,suv,black,10601,32.7174202,-117.1627728,4,1,0,0,0,1,0,0,1,0
104,2010,ford,5.0,4.0,gas,24949,clean,automatic,4wd,midsize,suv,black,21529,32.2228765,-110.9748477,13,1,0,0,0,0,1,0,1,0
105,2015,jeep,1.0,6.0,gas,138419,clean,automatic,fwd,fullsize,suv,white,4440,39.2908816,-76.610759,8,1,0,0,0,1,0,0,1,0
106,2013,honda,5.0,6.0,gas,28173,rebuilt,automatic,fwd,fullsize,sedan,black,10979,14.6743343,121.1003603,10,1,0,0,0,1,0,0,1,0
107,1995,ford,2.0,8.0,gas,115452,clean,manual,fwd,midsize,coupe,blue,5852,27.7635302,-97.4033191,28,1,0,0,0,1,0,0,0,1
108,2010,bmw,5.0,6.0,gas,158058,clean,manual,4wd,compact,suv,silver,8725,41.8755616,-87.6244212,13,1,0,0,0,0,1,0,0,1
109,1990,ram,1.0,8.0,gas,135456,clean,automatic,fwd,fullsize,pickup,blue,5284,35.2272086,-80.8430827,33,1,0,0,0,1,0,0,1,0
110,1997,ford,2.0,8.0,gas,92758,clean,manual,rwd,fullsize,coupe,white,23657,39.830107,-74.978493,26,1,0,0,0,0,0,1,0,1
111,2011,chevrolet,2.0,8.0,gas,81336,rebuilt,manual,rwd,midsize,sedan,white,8386,39.830107,-74.978493,12,1,0,0,0,0,0,1,0,1
112,2002,ford,2.0,8.0,diesel,243694,clean,automatic,4wd,fullsize,truck,silver,13881,61.2163129,-149.894852,21,0,1,0,0,0,1,0,1,0
113,1998,toyota,2.0,6.0,gas,214411,clean,automatic,fwd,midsize,suv,silver,2336,45.5616075,-94.1642004,25,1,0,0,0,1,0,0,1,0
114,2014,ford,5.0,6.0,diesel,107947,clean,manual,4wd,fullsize,pickup,black,18710,36.1563122,-95.9927516,9,0,1,0,0,0,1,0,0,1
115,2012,toyota,5.0,6.0,gas,82367,clean,automatic,fwd,compact,sedan,white,7294,41.7962409,-71.5992372,11,1,0,0,0,1,0,0,1,0
116,2010,gmc,5.0,6.0,gas,147162,clean,automatic,4wd,fullsize,suv,silver,8935,41.7962409,-71.5992372,13,1,0,0,0,0,1,0,1,0
117,2014,honda,2.0,4.0,gas,150213,clean,automatic,fwd,midsize,suv,blue,11467,43.074761,-89.3837613,9,1,0,0,0,1,0,0,1,0
118,2011,bmw,5.0,6.0,gas,122781,clean,automatic,4wd,fullsize,suv,blue,14478,39.7683331,-86.1583502,12,1,0,0,0,0,1,0,1,0
119,2005,chevrolet,5.0,6.0,gas,136071,rebuilt,automatic,4wd,midsize,pickup,silver,8120,43.6008183,-116.24210864118032,18,1,0,0,0,0,1,0,1,0
120,2007,chevrolet,5.0,4.0,gas,36953,clean,automatic,4wd,fullsize,suv,black,25010,40.85149705,-73.0994258107431,16,1,0,0,0,0,1,0,1,0
121,2004,ford,,8.0,other,214678,clean,automatic,fwd,fullsize,van,grey,1533,39.2908816,-76.610759,19,0,0,0,0,1,0,0,1,0
122,2013,mitsubishi,5.0,4.0,gas,151408,clean,other,fwd,fullsize,suv,green,3247,35.3738712,-119.0194639,10,1,0,0,0,1,0,0,0,0
123,1983,chevrolet,1.0,8.0,gas,18207,clean,automatic,rwd,fullsize,truck,black,29532,39.830107,-74.978493,40,1,0,0,0,0,0,1,1,0
124,1996,chevrolet,2.0,8.0,gas,178183,clean,automatic,rwd,subcompact,truck,black,3288,44.5990718,-72.5002608,27,1,0,0,0,0,0,1,1,0
125,2014,ford,5.0,6.0,gas,121382,salvage,automatic,4wd,compact,offroad,black,17791,33.7500378,-117.8704931,9,1,0,0,0,0,1,0,1,0
126,2010,toyota,0.0,4.0,gas,209187,clean,manual,fwd,compact,sedan,green,1161,29.4836274,-95.1139039,13,1,0,0,0,1,0,0,0,1
127,1982,ram,5.0,8.0,other,151312,clean,automatic,4wd,fullsize,truck,grey,22234,39.830107,-74.978493,41,0,0,0,0,0,1,0,1,0
128,2013,ford,5.0,4.0,gas,79889,clean,automatic,rwd,midsize,suv,silver,50072,50.9986041,-115.3717331,10,1,0,0,0,0,0,1,1,0
129,2012,ford,2.0,8.0,gas,75510,clean,automatic,fwd,fullsize,truck,white,6278,43.8122836,-91.2514355,11,1,0,0,0,1,0,0,1,0
130,1994,chevrolet,5.0,6.0,gas,150367,clean,manual,fwd,fullsize,sedan,blue,6008,28.5421109,-81.3790304,29,1,0,0,0,1,0,0,0,1
131,2014,bmw,5.0,6.0,gas,60298,rebuilt,automatic,rwd,midsize,suv,black,32528,42.2612043,-71.7950711,9,1,0,0,0,0,0,1,1,0
132,2015,audi,5.0,4.0,gas,148248,rebuilt,manual,fwd,midsize,suv,black,12681,34.0536909,-118.242766,8,1,0,0,0,1,0,0,0,1
133,2014,ford,5.0,4.0,gas,72493,clean,automatic,fwd,fullsize,suv,black,24342,39.2908816,-76.610759,9,1,0,0,0,1,0,0,1,0
134,2017,jeep,5.0,6.0,gas,16219,clean,manual,4wd,fullsize,suv,blue,18140,42.1125825,-72.51478135359363,6,1,0,0,0,0,1,0,0,1
135,2016,ram,5.0,10.0,other,76158,clean,manual,4wd,fullsize,truck,black,21581,32.2228765,-110.9748477,7,0,0,0,0,0,1,0,0,1
136,2019,chevrolet,5.0,4.0,gas,127850,clean,automatic,4wd,fullsize,truck,white,17793,43.0481221,-76.1474244,4,1,0,0,0,0,1,0,1,0
137,2013,ford,5.0,6.0,gas,102353,clean,automatic,fwd,midsize,sedan,black,7533,39.830107,-74.978493,10,1,0,0,0,1,0,0,1,0
138,2014,chevrolet,5.0,6.0,diesel,119266,clean,automatic,4wd,fullsize,pickup,black,13083,40.4416941,-79.9900861,9,0,1,0,0,0,1,0,1,0
139,2009,bmw,5.0,6.0,gas,140728,clean,manual,rwd,midsize,convertible,silver,10849,42.224867,-121.7816704,14,1,0,0,0,0,0,1,0,1
140,2010,toyota,1.0,4.0,gas,173036,clean,automatic,fwd,midsize,other,black,3255,34.7678925,-87.67396345074114,13,1,0,0,0,1,0,0,1,0
141,2019,jeep,,6.0,gas,106009,clean,automatic,4wd,fullsize,suv,silver,20732,41.7962409,-71.5992372,4,1,0,0,0,0,1,0,1,0
142,2008,chevrolet,5.0,8.0,gas,153913,clean,automatic,rwd,fullsize,suv,silver,3226,43.0349931,-87.922497,15,1,0,0,0,0,0,1,1,0
143,2004,chrysler,5.0,6.0,other,115687,clean,manual,fwd,fullsize,minivan,brown,4933,35.0457219,-85.3094883,19,0,0,0,0,1,0,0,0,1
144,2006,toyota,2.0,6.0,gas,101613,clean,automatic,fwd,fullsize,coupe,white,5494,33.7500378,-117.8704931,17,1,0,0,0,1,0,0,1,0
145,2014,toyota,5.0,6.0,gas,37571,clean,manual,fwd,midsize,suv,black,29437,36.1672559,-115.148516,9,1,0,0,0,1,0,0,0,1
146,2012,toyota,2.0,4.0,gas,133359,clean,automatic,fwd,fullsize,suv,black,5735,34.627894,-86.902062,11,1,0,0,0,1,0,0,1,0
147,2014,ford,5.0,8.0,gas,16521,clean,automatic,4wd,midsize,truck,black,18419,40.5997415,-123.8997734,9,1,0,0,0,0,1,0,1,0
148,2002,ford,1.0,6.0,gas,157889,clean,manual,fwd,fullsize,other,silver,5568,42.1125825,-72.51478135359363,21,1,0,0,0,1,0,0,0,1
149,2008,ram,5.0,6.0,gas,107943,clean,automatic,4wd,fullsize,truck,grey,36197,42.420156,-71.107384,15,1,0,0,0,0,1,0,1,0
150,2002,nissan,2.0,6.0,gas,182165,clean,automatic,fwd,midsize,suv,blue,5339,41.5910323,-93.6046655,21,1,0,0,0,1,0,0,1,0
151,2014,mitsubishi,5.0,4.0,gas,118635,rebuilt,automatic,fwd,midsize,sedan,red,6472,40.7127281,-74.0060152,9,1,0,0,0,1,0,0,1,0
152,2018,jeep,1.0,6.0,gas,7299,clean,manual,4wd,midsize,suv,black,18664,43.157285,-77.615214,5,1,0,0,0,0,1,0,0,1
153,2013,chevrolet,5.0,4.0,gas,104338,clean,automatic,4wd,fullsize,sedan,green,6168,36.198532,-101.1925326,10,1,0,0,0,0,1,0,1,0
154,2017,bmw,,6.0,diesel,10566,clean,automatic,4wd,fullsize,suv,black,37070,43.074761,-89.3837613,6,0,1,0,0,0,1,0,1,0
155,1975,chevrolet,5.0,6.0,gas,29232,clean,manual,rwd,fullsize,coupe,white,28109,36.198532,-101.1925326,48,1,0,0,0,0,0,1,0,1
156,2008,toyota,3.0,6.0,gas,174860,clean,manual,fwd,fullsize,truck,silver,22855,43.1700264,-107.568534,15,1,0,0,0,1,0,0,0,1
157,2015,mazda,5.0,6.0,gas,111849,clean,automatic,fwd,compact,sedan,blue,8146,41.1035786,-80.6520161,8,1,0,0,0,1,0,0,1,0
158,2013,bmw,,6.0,gas,95864,clean,automatic,fwd,fullsize,suv,silver,7197,41.33503545,-73.51138199065552,10,1,0,0,0,1,0,0,1,0
159,1987,ford,1.0,8.0,gas,184379,clean,manual,rwd,fullsize,coupe,green,3559,46.808327,-100.783739,36,1,0,0,0,0,0,1,0,1
160,2009,jeep,5.0,6.0,gas,99959,clean,automatic,4wd,compact,suv,white,8589,45.709097,-68.8590201,14,1,0,0,0,0,1,0,1,0
161,2013,ford,5.0,6.0,gas,65428,clean,automatic,fwd,midsize,suv,black,21725,41.000028,19.9999619,10,1,0,0,0,1,0,0,1,0
162,2014,volkswagen,,4.0,gas,98187,clean,automatic,fwd,compact,sedan,white,7000,33.7500378,-117.8704931,9,1,0,0,0,1,0,0,1,0
163,2013,honda,,4.0,gas,112474,clean,automatic,fwd,compact,sedan,black,13342,27.395988350000003,-82.55407423064528,10,1,0,0,0,1,0,0,1,0
164,1999,ford,,6.0,gas,165983,clean,manual,rwd,fullsize,truck,black,4653,46.8317305,-96.7914886,24,1,0,0,0,0,0,1,0,1
165,2016,honda,,6.0,gas,73174,clean,automatic,fwd,fullsize,suv,blue,20326,43.157285,-77.615214,7,1,0,0,0,1,0,0,1,0
166,2007,ford,,4.0,gas,338606,clean,manual,4wd,midsize,suv,green,3984,33.8583113,-118.0858136,16,1,0,0,0,0,1,0,0,1
167,2011,jeep,5.0,6.0,gas,128012,clean,automatic,4wd,midsize,pickup,black,16450,41.218369,-95.8164659,12,1,0,0,0,0,1,0,1,0
168,2012,hyundai,5.0,6.0,gas,93823,clean,automatic,fwd,fullsize,sedan,black,8708,32.2228765,-110.9748477,11,1,0,0,0,1,0,0,1,0
169,1992,ford,2.0,8.0,gas,102829,clean,manual,rwd,fullsize,pickup,black,14371,29.4836274,-95.1139039,31,1,0,0,0,0,0,1,0,1
170,2012,ford,5.0,4.0,gas,128149,rebuilt,automatic,fwd,midsize,suv,white,10945,30.3321838,-81.655651,11,1,0,0,0,1,0,0,1,0
171,2002,volkswagen,2.0,4.0,gas,202170,clean,manual,fwd,fullsize,coupe,silver,5026,36.0998131,-80.2440518,21,1,0,0,0,1,0,0,0,1
